epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,431.786,0.32992,0.41573,0.24286,0.81722,0.86352,0.74613,0.83042,0.69128,0.86003,0.73691,0.82091,0.63026,0.66712,1.95101,0.59716,0.9018,0.080266,0.000199333,0.000199333
2,864.74,0.34344,0.42653,0.24986,0.81866,0.84733,0.75772,0.82828,0.68314,0.88296,0.71721,0.81665,0.62454,0.66742,1.76891,0.6056,0.88409,0.0604611,0.000394392,0.000394392
3,1298.87,0.39181,0.54611,0.28274,0.8305,0.86083,0.74047,0.81244,0.66269,0.85227,0.73045,0.80087,0.60541,0.70017,1.49359,0.63131,0.91269,0.0406512,0.0005845,0.0005845
4,1734.06,0.43371,0.59638,0.31639,0.84136,0.86023,0.73566,0.79971,0.642,0.8531,0.7291,0.79416,0.59364,0.71156,1.49006,0.60246,0.90764,0.0208363,0.000769658,0.000769658
5,2167.7,0.48132,0.68803,0.34802,0.85589,0.8663,0.72252,0.79177,0.62972,0.86206,0.7144,0.78298,0.58156,0.74072,1.46232,0.59987,0.92035,0.00101653,0.000949866,0.000949866
6,2602.22,0.49461,0.70551,0.35942,0.86109,0.83772,0.72679,0.80021,0.63944,0.83874,0.72184,0.79537,0.60025,0.73492,1.41071,0.64034,0.91172,0.000938125,0.000938125,0.000938125
7,3037.47,0.4845,0.67306,0.34541,0.8552,0.87102,0.73325,0.80756,0.6454,0.85937,0.72844,0.79735,0.59145,0.72179,1.42825,0.60828,0.91144,0.00092575,0.00092575,0.00092575
8,3472.94,0.47156,0.65149,0.33362,0.85329,0.86872,0.74208,0.80577,0.65293,0.86353,0.73863,0.80232,0.60518,0.71836,1.42722,0.5862,0.90747,0.000913375,0.000913375,0.000913375
9,3908.55,0.45347,0.61768,0.32039,0.84639,0.87482,0.74609,0.82183,0.66758,0.87349,0.73767,0.81388,0.61764,0.69912,1.44495,0.57353,0.90137,0.000901,0.000901,0.000901
10,4344.3,0.44785,0.60292,0.31647,0.84568,0.86553,0.71641,0.80227,0.64877,0.87483,0.70085,0.79263,0.59608,0.70076,1.41845,0.62065,0.90436,0.000888625,0.000888625,0.000888625
